model,chunk_unit,word_count,row_count,mean_duration_seconds,variance_duration_seconds,std_duration_seconds,min_duration_seconds,max_duration_seconds
hexgrad/Kokoro-82M,sentence,1,1766,1.334980181200453,0.01117410776123557,0.10570765233054592,0.525,2.2
hexgrad/Kokoro-82M,sentence,2,197,1.810532994923858,0.13639603571336545,0.3693183392594598,1.275,2.95
hexgrad/Kokoro-82M,sentence,3,160,2.424375,1.347905859375,1.1609934794713535,1.475,8.1
hexgrad/Kokoro-82M,sentence,4,148,2.4255067567567568,1.5154178175219137,1.2310230775748738,1.575,10.375
hexgrad/Kokoro-82M,sentence,5,175,2.4385714285714286,0.32578367346938775,0.5707746258107378,1.675,4.675
hexgrad/Kokoro-82M,sentence,6,216,2.7637731481481485,0.4613236105752743,0.6792080760527471,1.775,5.675
hexgrad/Kokoro-82M,sentence,7,228,3.0656798245614034,0.6608533755578639,0.8129288871468795,2.025,8.075
hexgrad/Kokoro-82M,sentence,8,264,3.4326704545454545,0.9689444785210056,0.9843497744811067,2.125,9.8
hexgrad/Kokoro-82M,sentence,9,286,3.861888111888112,4.329338567900631,2.0807062666077187,2.2,36.35
hexgrad/Kokoro-82M,sentence,10,366,4.14275956284153,0.7865971662336887,0.8869031323846414,2.35,7.65
hexgrad/Kokoro-82M,sentence,11,437,4.50245995423341,0.7988483536594946,0.893783169263941,2.925,10.9
hexgrad/Kokoro-82M,sentence,12,454,4.952533039647577,0.8219787158687342,0.906630418565765,3.25,8.9
hexgrad/Kokoro-82M,sentence,13,548,5.239187956204379,0.850732780365896,0.9223517660664482,3.25,8.425
hexgrad/Kokoro-82M,sentence,14,601,5.71955074875208,1.6415978015011032,1.2812485322922729,3.575,22.825
hexgrad/Kokoro-82M,sentence,15,631,6.156656101426307,1.401027407882741,1.1836500360675621,3.775,16.425
hexgrad/Kokoro-82M,sentence,16,626,6.469209265175719,1.3434958204253387,1.1590926711981828,3.95,10.7
hexgrad/Kokoro-82M,sentence,17,635,6.903228346456693,1.3834580817161635,1.176204948857198,4.15,13.675
