model,consume_profile_label,policy,policy_label,lambda_req_s,threshold_key,threshold_label,threshold_value,threshold_mode,selection_rank,mean_admitted_inflight_requests,selected_max_num_seqs,unit_deadline_miss_rate,valid_consumable_unit_count,violated_unit_count,run_count
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,8.0,conservative,Conservative (<0.5%),0.005,lt,1,127.99944948211548,128,0.0004321894718644654,23138.0,10.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,16.0,conservative,Conservative (<0.5%),0.005,lt,1,127.99944662446305,128,0.0004294057025077293,23288.0,10.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,32.0,conservative,Conservative (<0.5%),0.005,lt,1,128.0,128,0.00034518467380048324,23176.0,8.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,48.0,conservative,Conservative (<0.5%),0.005,lt,1,128.0,128,0.0004697642637512812,23416.0,11.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,64.0,conservative,Conservative (<0.5%),0.005,lt,1,127.9983392748244,128,0.0003446196260877057,23214.0,8.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,80.0,conservative,Conservative (<0.5%),0.005,lt,1,127.99946294060729,128,0.0005555555555555556,23400.0,13.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,8.0,conservative,Conservative (<0.5%),0.005,lt,1,280.6835215967072,128,0.0006379741865829121,20377.0,13.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,8.0,conservative,Conservative (<0.5%),0.005,lt,2,267.76903400944366,256,0.001055455385021329,22739.0,24.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,16.0,conservative,Conservative (<0.5%),0.005,lt,1,279.69392553070895,128,0.0006340844795629695,20502.0,13.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,16.0,conservative,Conservative (<0.5%),0.005,lt,2,263.6232881194786,256,0.0018393073437710287,22291.0,41.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,32.0,conservative,Conservative (<0.5%),0.005,lt,1,279.8677826055054,128,0.000445588672145757,20198.0,9.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,32.0,conservative,Conservative (<0.5%),0.005,lt,2,263.79083542485915,256,0.0023031461845993396,23012.0,53.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,48.0,conservative,Conservative (<0.5%),0.005,lt,1,280.2447783058268,128,0.0004943153732081067,20230.0,10.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,48.0,conservative,Conservative (<0.5%),0.005,lt,2,261.39599664642805,256,0.001650385833444846,22419.0,37.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,64.0,conservative,Conservative (<0.5%),0.005,lt,1,279.7440370154538,128,0.0015934331240946402,20710.0,33.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,64.0,conservative,Conservative (<0.5%),0.005,lt,2,268.5089294537313,256,0.0010092588529553733,22789.0,23.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,80.0,conservative,Conservative (<0.5%),0.005,lt,1,263.0889482747982,256,0.0020178467333303437,22301.0,45.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,80.0,conservative,Conservative (<0.5%),0.005,lt,2,250.30261955894636,128,0.002207712903377331,21289.0,47.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,8.0,relaxed,Relaxed (<1%),0.01,lt,1,255.99535324971657,256,0.009648488970119436,23527.0,227.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,8.0,relaxed,Relaxed (<1%),0.01,lt,2,127.99944948211548,128,0.0004321894718644654,23138.0,10.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,16.0,relaxed,Relaxed (<1%),0.01,lt,1,255.99004996779954,256,0.009906041409804004,23521.0,233.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,16.0,relaxed,Relaxed (<1%),0.01,lt,2,127.99944662446305,128,0.0004294057025077293,23288.0,10.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,32.0,relaxed,Relaxed (<1%),0.01,lt,1,128.0,128,0.00034518467380048324,23176.0,8.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,48.0,relaxed,Relaxed (<1%),0.01,lt,1,128.0,128,0.0004697642637512812,23416.0,11.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,64.0,relaxed,Relaxed (<1%),0.01,lt,1,127.9983392748244,128,0.0003446196260877057,23214.0,8.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,80.0,relaxed,Relaxed (<1%),0.01,lt,1,127.99946294060729,128,0.0005555555555555556,23400.0,13.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,8.0,relaxed,Relaxed (<1%),0.01,lt,1,280.6835215967072,128,0.0006379741865829121,20377.0,13.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,8.0,relaxed,Relaxed (<1%),0.01,lt,2,267.76903400944366,256,0.001055455385021329,22739.0,24.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,16.0,relaxed,Relaxed (<1%),0.01,lt,1,279.69392553070895,128,0.0006340844795629695,20502.0,13.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,16.0,relaxed,Relaxed (<1%),0.01,lt,2,263.6232881194786,256,0.0018393073437710287,22291.0,41.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,32.0,relaxed,Relaxed (<1%),0.01,lt,1,279.8677826055054,128,0.000445588672145757,20198.0,9.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,32.0,relaxed,Relaxed (<1%),0.01,lt,2,263.79083542485915,256,0.0023031461845993396,23012.0,53.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,48.0,relaxed,Relaxed (<1%),0.01,lt,1,280.2447783058268,128,0.0004943153732081067,20230.0,10.0,1
