model,consume_profile_label,policy,policy_label,lambda_req_s,threshold_key,threshold_label,threshold_value,threshold_mode,selection_rank,mean_admitted_inflight_requests,selected_max_num_seqs,unit_deadline_miss_rate,valid_consumable_unit_count,violated_unit_count,run_count
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,8.0,conservative,Conservative (<0.5%),0.005,lt,1,127.99944948211548,128,0.0004321894718644,23138.0,10.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,16.0,conservative,Conservative (<0.5%),0.005,lt,1,127.99944662446303,128,0.0004294057025077,23288.0,10.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,32.0,conservative,Conservative (<0.5%),0.005,lt,1,128.0,128,0.0003451846738004,23176.0,8.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,48.0,conservative,Conservative (<0.5%),0.005,lt,1,128.0,128,0.0004697642637512,23416.0,11.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,64.0,conservative,Conservative (<0.5%),0.005,lt,1,127.9983392748244,128,0.0003446196260877,23214.0,8.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,80.0,conservative,Conservative (<0.5%),0.005,lt,1,127.99946294060727,128,0.0005555555555555,23400.0,13.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,8.0,conservative,Conservative (<0.5%),0.005,lt,1,280.6835215967072,128,0.0006379741865829,20377.0,13.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,16.0,conservative,Conservative (<0.5%),0.005,lt,1,279.6939255307089,128,0.0006340844795629,20502.0,13.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,32.0,conservative,Conservative (<0.5%),0.005,lt,1,279.8677826055054,128,0.0004455886721457,20198.0,9.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,48.0,conservative,Conservative (<0.5%),0.005,lt,1,280.2447783058268,128,0.0004943153732081,20230.0,10.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,64.0,conservative,Conservative (<0.5%),0.005,lt,1,279.7440370154538,128,0.0015934331240946,20710.0,33.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,80.0,conservative,Conservative (<0.5%),0.005,lt,1,263.0889482747982,256,0.0020178467333303,22301.0,45.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,8.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9833936274885,256,0.0010625110678236,22588.0,24.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,16.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99438042174063,256,0.0010137964473046,22687.0,23.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,32.0,conservative,Conservative (<0.5%),0.005,lt,1,255.98934151358,256,0.0011343309628724,22921.0,26.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,48.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9921822609314,256,0.0010427075639744,23017.0,24.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,64.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99116227358076,256,0.000966353333919,22766.0,22.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,80.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9923518470217,256,0.0006010647432594,23292.0,14.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,8.0,conservative,Conservative (<0.5%),0.005,lt,1,471.2448662203516,256,0.0003895597974289,15402.0,6.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,16.0,conservative,Conservative (<0.5%),0.005,lt,1,768.3373040396239,256,0.0009677865339416,14466.0,14.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,32.0,conservative,Conservative (<0.5%),0.005,lt,1,809.4242571891617,256,0.0006213753106876,14484.0,9.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,48.0,conservative,Conservative (<0.5%),0.005,lt,1,807.253003851978,256,0.0003595828838547,13905.0,5.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,64.0,conservative,Conservative (<0.5%),0.005,lt,1,820.3550865535075,256,0.0002819283901888,14188.0,4.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,80.0,conservative,Conservative (<0.5%),0.005,lt,1,758.3949354001966,256,0.0002000800320128,14994.0,3.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,8.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99307247249004,256,0.0009386466422049,23438.0,22.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,16.0,conservative,Conservative (<0.5%),0.005,lt,1,255.98879603652105,256,0.0010592771492733,23601.0,25.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,32.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9891877322615,256,0.0010737447923377,23283.0,25.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,48.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99211960341577,256,0.0008562010360032,23359.0,20.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,64.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99306820386352,256,0.0009848419970882,23354.0,23.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,80.0,conservative,Conservative (<0.5%),0.005,lt,1,255.98894157454745,256,0.0011052542084679,23524.0,26.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,8.0,conservative,Conservative (<0.5%),0.005,lt,1,279.4445765569743,128,5.202642942614848e-05,19221.0,1.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,16.0,conservative,Conservative (<0.5%),0.005,lt,1,277.8388484285718,128,5.135315565141478e-05,19473.0,1.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,32.0,conservative,Conservative (<0.5%),0.005,lt,1,278.3468037798192,128,0.0,19431.0,0.0,1
