model,consume_profile_label,policy,policy_label,lambda_req_s,threshold_key,threshold_label,threshold_value,threshold_mode,selection_rank,mean_admitted_inflight_requests,selected_max_num_seqs,unit_deadline_miss_rate,valid_consumable_unit_count,violated_unit_count,run_count
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,8.0,strict,Strict (=0),0.0,eq,1,127.99347028613036,128,0.0,23292.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,16.0,strict,Strict (=0),0.0,eq,1,127.99911204377898,128,0.0,22997.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,32.0,strict,Strict (=0),0.0,eq,1,127.99875169764688,128,0.0,22713.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,48.0,strict,Strict (=0),0.0,eq,1,127.99780444549832,128,0.0,22900.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,64.0,strict,Strict (=0),0.0,eq,1,127.998220371807,128,0.0,23223.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,16.0,strict,Strict (=0),0.0,eq,1,127.99894555433488,128,0.0,23293.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,48.0,strict,Strict (=0),0.0,eq,1,127.99945993871926,128,0.0,23295.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,64.0,strict,Strict (=0),0.0,eq,1,127.9988506371102,128,0.0,23157.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,80.0,strict,Strict (=0),0.0,eq,1,127.99805658256714,128,0.0,23564.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,32.0,strict,Strict (=0),0.0,eq,1,278.3468037798192,128,0.0,19431.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,8.0,strict,Strict (=0),0.0,eq,1,127.99865572489244,128,0.0,23228.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,16.0,strict,Strict (=0),0.0,eq,1,127.99909054507388,128,0.0,23032.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,32.0,strict,Strict (=0),0.0,eq,1,127.99431813349688,128,0.0,22660.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,48.0,strict,Strict (=0),0.0,eq,1,127.99909745215918,128,0.0,22780.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,64.0,strict,Strict (=0),0.0,eq,1,127.9959097960701,128,0.0,22928.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,80.0,strict,Strict (=0),0.0,eq,1,255.98812509474223,256,0.0,23088.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,32.0,strict,Strict (=0),0.0,eq,1,929.7912182353492,128,0.0,9560.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,64.0,strict,Strict (=0),0.0,eq,1,895.2632904355886,128,0.0,9698.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,32.0,strict,Strict (=0),0.0,eq,1,127.99736932546077,128,0.0,23111.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,48.0,strict,Strict (=0),0.0,eq,1,127.99884011246934,128,0.0,23204.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,80.0,strict,Strict (=0),0.0,eq,1,128.0,128,0.0,23407.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,8.0,strict,Strict (=0),0.0,eq,1,128.0,128,0.0,23057.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,16.0,strict,Strict (=0),0.0,eq,1,127.9997906340948,128,0.0,23082.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,32.0,strict,Strict (=0),0.0,eq,1,127.99883843426802,128,0.0,22824.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,48.0,strict,Strict (=0),0.0,eq,1,127.99953270288256,128,0.0,23148.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,64.0,strict,Strict (=0),0.0,eq,1,127.99909367979662,128,0.0,23347.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,80.0,strict,Strict (=0),0.0,eq,1,127.99864810153396,128,0.0,23007.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,16.0,strict,Strict (=0),0.0,eq,1,940.5291612092668,128,0.0,8830.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,48.0,strict,Strict (=0),0.0,eq,1,642.8253475917286,128,0.0,13291.0,0.0,1
