model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,unit_violation_amount_p99_s,violated_unit_count
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,128,8.0,1.3752553550619633,10
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,128,16.0,0.9555962279625237,10
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,128,32.0,1.2272089981194585,8
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,128,48.0,1.1496944336220623,11
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,128,64.0,1.4869836623780428,8
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,128,80.0,1.681482426077127,13
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,256,8.0,8.742628798969115,227
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,256,16.0,3.613233062699438,233
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,256,32.0,8.666743729123846,254
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,256,48.0,6.07724909260869,241
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,256,64.0,5.570692655500018,259
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,256,80.0,6.008388518700353,250
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,8.0,2.2007829535380004,13
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,16.0,4.171814021840689,13
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,32.0,2.399879726655781,9
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,48.0,1.6472539117373528,10
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,64.0,8.651087265238166,33
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,80.0,4.4986895542405545,47
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,8.0,1.9671505810320375,24
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,16.0,2.2534723315387963,41
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,32.0,4.14776982754468,53
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,48.0,8.775177868455648,37
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,64.0,8.961004434563222,23
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,80.0,5.867378796339041,45
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,128,80.0,1.6731953201815486,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,256,8.0,2.2581000830419358,24
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,256,16.0,1.4630362259410332,23
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,256,32.0,1.1876269904896617,26
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,256,48.0,2.062462511481717,24
