model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,mean_admitted_inflight_requests,valid_consumable_unit_count,violated_unit_count,run_count,validity_pass,no_harm_pass,request_any_unit_missed_count,measured_request_count,unit_deadline_miss_rate,request_any_unit_miss_rate,cell_valid
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,128,8.0,127.99944948211548,23138.0,10.0,1,False,True,10,1025,0.0004321894718644654,0.00975609756097561,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,128,16.0,127.99944662446305,23288.0,10.0,1,False,True,10,1025,0.0004294057025077293,0.00975609756097561,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,128,32.0,128.0,23176.0,8.0,1,False,True,8,1025,0.00034518467380048324,0.007804878048780488,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,128,48.0,128.0,23416.0,11.0,1,False,True,11,1025,0.0004697642637512812,0.010731707317073172,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,128,64.0,127.9983392748244,23214.0,8.0,1,False,True,8,1025,0.0003446196260877057,0.007804878048780488,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,128,80.0,127.99946294060729,23400.0,13.0,1,False,True,13,1025,0.0005555555555555556,0.012682926829268294,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,256,8.0,255.99535324971657,23527.0,227.0,1,False,True,157,1025,0.009648488970119436,0.15317073170731707,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,256,16.0,255.99004996779954,23521.0,233.0,1,False,True,156,1025,0.009906041409804004,0.1521951219512195,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,256,32.0,255.99360773007362,23423.0,254.0,1,False,True,151,1025,0.010844042180762499,0.1473170731707317,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,256,48.0,255.99573484339024,23616.0,241.0,1,False,True,162,1025,0.010204945799457995,0.15804878048780488,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,256,64.0,255.98765702638875,23377.0,259.0,1,False,True,158,1025,0.011079265945159773,0.15414634146341463,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,256,80.0,255.9854899290226,23630.0,250.0,1,False,True,158,1025,0.010579771476936098,0.15414634146341463,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,Adaptive,128,8.0,280.6835215967072,20377.0,13.0,1,False,True,9,1025,0.0006379741865829121,0.00878048780487805,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,Adaptive,128,16.0,279.69392553070895,20502.0,13.0,1,False,True,13,1025,0.0006340844795629695,0.012682926829268294,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,Adaptive,128,32.0,279.8677826055054,20198.0,9.0,1,False,True,9,1025,0.000445588672145757,0.00878048780487805,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,Adaptive,128,48.0,280.2447783058268,20230.0,10.0,1,False,True,9,1025,0.0004943153732081067,0.00878048780487805,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,Adaptive,128,64.0,279.7440370154538,20710.0,33.0,1,False,True,32,1025,0.0015934331240946402,0.03121951219512195,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,Adaptive,128,80.0,250.30261955894636,21289.0,47.0,1,False,True,37,1025,0.002207712903377331,0.03609756097560975,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,Adaptive,256,8.0,267.76903400944366,22739.0,24.0,1,False,True,20,1025,0.001055455385021329,0.01951219512195122,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,Adaptive,256,16.0,263.6232881194786,22291.0,41.0,1,False,True,40,1025,0.0018393073437710287,0.03902439024390244,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,Adaptive,256,32.0,263.79083542485915,23012.0,53.0,1,False,True,42,1025,0.0023031461845993396,0.04097560975609756,False
