model,consume_profile_label,policy,policy_label,lambda_req_s,threshold_key,threshold_label,threshold_value,threshold_mode,selection_rank,mean_admitted_inflight_requests,selected_max_num_seqs,unit_deadline_miss_rate,valid_consumable_unit_count,violated_unit_count,run_count
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,8.0,conservative,Conservative (<0.5%),0.005,lt,1,127.99902875990475,128,0.00033927056827820186,23580.0,8.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,16.0,conservative,Conservative (<0.5%),0.005,lt,1,127.99850701798766,128,0.000342773897767685,23339.0,8.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,24.0,conservative,Conservative (<0.5%),0.005,lt,1,127.99903359242322,128,0.0006885866758478223,23236.0,16.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,32.0,conservative,Conservative (<0.5%),0.005,lt,1,128.0,128,0.0004720017163698777,23305.0,11.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,40.0,conservative,Conservative (<0.5%),0.005,lt,1,127.99847607655347,128,0.0003866311538791992,23278.0,9.0,1
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,48.0,conservative,Conservative (<0.5%),0.005,lt,1,128.0,128,0.0006478082487583676,23155.0,15.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,8.0,conservative,Conservative (<0.5%),0.005,lt,1,272.8177190742077,128,0.00025080256821829853,19936.0,5.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,8.0,conservative,Conservative (<0.5%),0.005,lt,2,254.34640141991733,256,0.0013582342954159593,23560.0,32.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,16.0,conservative,Conservative (<0.5%),0.005,lt,1,273.7399696777139,128,0.0001990247785849338,20098.0,4.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,16.0,conservative,Conservative (<0.5%),0.005,lt,2,255.75365428875355,256,0.0011183757742601514,23248.0,26.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,24.0,conservative,Conservative (<0.5%),0.005,lt,1,275.4965616379669,128,0.00030206917384080956,19863.0,6.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,24.0,conservative,Conservative (<0.5%),0.005,lt,2,253.30735375116777,256,0.0008981267641775725,23382.0,21.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,32.0,conservative,Conservative (<0.5%),0.005,lt,1,273.8141763216285,128,0.00029513034923757994,20330.0,6.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,32.0,conservative,Conservative (<0.5%),0.005,lt,2,253.34659759603886,256,0.0010245901639344263,23424.0,24.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,40.0,conservative,Conservative (<0.5%),0.005,lt,1,274.03406683512645,128,0.00045081146062913246,19964.0,9.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,40.0,conservative,Conservative (<0.5%),0.005,lt,2,254.95899546228512,256,0.000943881928951433,23308.0,22.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,48.0,conservative,Conservative (<0.5%),0.005,lt,1,272.8366456509953,128,0.0001999000499750125,20010.0,4.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,48.0,conservative,Conservative (<0.5%),0.005,lt,2,255.25221843813284,256,0.0010334137099552187,23224.0,24.0,1
