model,consume_profile_label,policy,policy_label,lambda_req_s,threshold_key,threshold_label,threshold_value,threshold_mode,selection_rank,mean_admitted_inflight_requests,selected_max_num_seqs,unit_deadline_miss_rate,valid_consumable_unit_count,violated_unit_count,run_count
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,8.0,strict,Strict (=0),0.0,eq,1,128.0,128,0.0,22790.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,16.0,strict,Strict (=0),0.0,eq,1,127.9979299466861,128,0.0,22901.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,24.0,strict,Strict (=0),0.0,eq,1,127.99726829118116,128,0.0,23181.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,40.0,strict,Strict (=0),0.0,eq,1,128.0,128,0.0,23061.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,48.0,strict,Strict (=0),0.0,eq,1,127.9981258012491,128,0.0,22813.0,0.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,8.0,strict,Strict (=0),0.0,eq,1,300.83902139380126,128,0.0,15689.0,0.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,16.0,strict,Strict (=0),0.0,eq,1,617.7690595747828,256,0.0,14482.0,0.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,24.0,strict,Strict (=0),0.0,eq,1,627.5815648285974,256,0.0,15147.0,0.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,32.0,strict,Strict (=0),0.0,eq,1,508.5595284304051,128,0.0,13764.0,0.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,40.0,strict,Strict (=0),0.0,eq,1,576.9606187964635,256,0.0,16697.0,0.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,48.0,strict,Strict (=0),0.0,eq,1,622.8446553327216,256,0.0,15926.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,16.0,strict,Strict (=0),0.0,eq,1,127.99902649485422,128,0.0,23393.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,24.0,strict,Strict (=0),0.0,eq,1,127.99956002547393,128,0.0,22961.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,32.0,strict,Strict (=0),0.0,eq,1,127.99695740501072,128,0.0,23244.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,40.0,strict,Strict (=0),0.0,eq,1,127.99706582304955,128,0.0,23432.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,48.0,strict,Strict (=0),0.0,eq,1,127.99854816603558,128,0.0,23375.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,8.0,strict,Strict (=0),0.0,eq,1,276.1686390897524,128,0.0,19242.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,16.0,strict,Strict (=0),0.0,eq,1,275.8147525435208,128,0.0,19269.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,24.0,strict,Strict (=0),0.0,eq,1,276.1005297821766,128,0.0,19263.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,40.0,strict,Strict (=0),0.0,eq,1,275.7321522997384,128,0.0,19213.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,48.0,strict,Strict (=0),0.0,eq,1,277.611071846164,128,0.0,19643.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,8.0,strict,Strict (=0),0.0,eq,1,127.99712797157912,128,0.0,23300.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,16.0,strict,Strict (=0),0.0,eq,1,127.99872823893143,128,0.0,23088.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,24.0,strict,Strict (=0),0.0,eq,1,127.99885433110798,128,0.0,22887.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,32.0,strict,Strict (=0),0.0,eq,1,127.99951996754324,128,0.0,22735.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,40.0,strict,Strict (=0),0.0,eq,1,127.99909269935944,128,0.0,23089.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,48.0,strict,Strict (=0),0.0,eq,1,127.9986467781892,128,0.0,22874.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,8.0,strict,Strict (=0),0.0,eq,1,345.60708918820285,256,0.0,16973.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,16.0,strict,Strict (=0),0.0,eq,1,691.8913113971574,128,0.0,10147.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,24.0,strict,Strict (=0),0.0,eq,1,882.3650405176376,256,0.0,11314.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,32.0,strict,Strict (=0),0.0,eq,1,857.9434216029472,256,0.0,11692.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,40.0,strict,Strict (=0),0.0,eq,1,853.380257309807,256,0.0,11953.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,48.0,strict,Strict (=0),0.0,eq,1,808.7803471717496,256,0.0,12009.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,32.0,strict,Strict (=0),0.0,eq,1,127.99946375128432,128,0.0,23419.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,48.0,strict,Strict (=0),0.0,eq,1,127.9984989803396,128,0.0,23485.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,24.0,strict,Strict (=0),0.0,eq,1,278.3460979538104,128,0.0,19356.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,32.0,strict,Strict (=0),0.0,eq,1,278.12958659094926,128,0.0,19323.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,48.0,strict,Strict (=0),0.0,eq,1,276.6627689115318,128,0.0,19582.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,8.0,strict,Strict (=0),0.0,eq,1,127.99911828652756,128,0.0,22843.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,16.0,strict,Strict (=0),0.0,eq,1,127.99772540354304,128,0.0,22878.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,24.0,strict,Strict (=0),0.0,eq,1,127.99886560977176,128,0.0,23000.0,0.0,1
