model,consume_profile_label,policy,lambda_req_s,selected_max_num_seqs,ttft_p99_s,run_count,policy_label
Qwen/Qwen3.5-35B-A3B,Reading,baseline,8.0,128,209.1499690413475,1,Baseline
Qwen/Qwen3.5-35B-A3B,Reading,baseline,16.0,128,280.9087735748291,1,Baseline
Qwen/Qwen3.5-35B-A3B,Reading,baseline,24.0,128,306.1229531288147,1,Baseline
Qwen/Qwen3.5-35B-A3B,Reading,baseline,32.0,128,317.629167804718,1,Baseline
Qwen/Qwen3.5-35B-A3B,Reading,baseline,40.0,128,323.96718744277956,1,Baseline
Qwen/Qwen3.5-35B-A3B,Reading,baseline,48.0,128,330.37909806251525,1,Baseline
Qwen/Qwen3.5-35B-A3B,Reading,sslo,8.0,128,160.28862257003783,1,ProgressServe
Qwen/Qwen3.5-35B-A3B,Reading,sslo,16.0,128,244.7116261959076,1,ProgressServe
Qwen/Qwen3.5-35B-A3B,Reading,sslo,24.0,128,276.1410359668732,1,ProgressServe
Qwen/Qwen3.5-35B-A3B,Reading,sslo,32.0,128,287.7364509963989,1,ProgressServe
Qwen/Qwen3.5-35B-A3B,Reading,sslo,40.0,128,295.1153873157501,1,ProgressServe
Qwen/Qwen3.5-35B-A3B,Reading,sslo,48.0,128,299.219072675705,1,ProgressServe
Qwen/Qwen3.5-9B,Reading,baseline,8.0,256,54.053111715316774,1,Baseline
Qwen/Qwen3.5-9B,Reading,baseline,16.0,256,148.7575648498535,1,Baseline
Qwen/Qwen3.5-9B,Reading,baseline,24.0,256,184.36050183296203,1,Baseline
Qwen/Qwen3.5-9B,Reading,baseline,32.0,256,199.63364309310913,1,Baseline
Qwen/Qwen3.5-9B,Reading,baseline,40.0,256,210.6900413608551,1,Baseline
Qwen/Qwen3.5-9B,Reading,baseline,48.0,256,218.73371047019958,1,Baseline
Qwen/Qwen3.5-9B,Reading,sslo,8.0,128,1.929955439567566,1,ProgressServe
Qwen/Qwen3.5-9B,Reading,sslo,16.0,256,51.15442807197571,1,ProgressServe
Qwen/Qwen3.5-9B,Reading,sslo,24.0,256,90.78946451187134,1,ProgressServe
Qwen/Qwen3.5-9B,Reading,sslo,32.0,256,109.88805733680725,1,ProgressServe
Qwen/Qwen3.5-9B,Reading,sslo,40.0,256,122.42130875587463,1,ProgressServe
Qwen/Qwen3.5-9B,Reading,sslo,48.0,256,131.9299491596222,1,ProgressServe
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,8.0,256,193.99392407417298,1,Baseline
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,16.0,256,284.83197386741637,1,Baseline
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,24.0,256,316.80575707435605,1,Baseline
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,32.0,256,336.4138424873352,1,Baseline
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,40.0,256,345.9368393802643,1,Baseline
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,48.0,256,349.54166668891907,1,Baseline
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,8.0,128,177.08795231580734,1,ProgressServe
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,16.0,128,262.6928261566162,1,ProgressServe
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,24.0,128,288.4523855304718,1,ProgressServe
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,32.0,128,299.75402314186096,1,ProgressServe
