model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,mean_admitted_inflight_requests,valid_consumable_unit_count,violated_unit_count,run_count,validity_pass,no_harm_pass,unit_deadline_miss_rate,cell_valid
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,128,8.0,127.99902875990475,23580.0,8.0,1,False,True,0.00033927056827820186,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,128,16.0,127.99850701798766,23339.0,8.0,1,False,True,0.000342773897767685,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,128,24.0,127.99903359242322,23236.0,16.0,1,False,True,0.0006885866758478223,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,128,32.0,128.0,23305.0,11.0,1,False,True,0.0004720017163698777,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,128,40.0,127.99847607655347,23278.0,9.0,1,False,True,0.0003866311538791992,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,128,48.0,128.0,23155.0,15.0,1,False,True,0.0006478082487583676,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,256,8.0,255.99238067834722,23372.0,237.0,1,False,True,0.010140338867020366,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,256,16.0,255.9991415745954,23456.0,244.0,1,False,True,0.010402455661664393,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,256,24.0,255.99207241732387,23487.0,203.0,1,False,True,0.008643079150168178,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,256,32.0,255.99833532777723,23568.0,233.0,1,False,True,0.009886286490156144,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,256,40.0,255.993466687265,23440.0,267.0,1,False,True,0.011390784982935154,False
Qwen/Qwen3.5-35B-A3B,Reading,baseline,vLLM,256,48.0,255.99464685377984,23642.0,235.0,1,False,True,0.009939937399543186,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,8.0,272.8177190742077,19936.0,5.0,1,False,True,0.00025080256821829853,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,16.0,273.7399696777139,20098.0,4.0,1,False,True,0.0001990247785849338,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,24.0,275.4965616379669,19863.0,6.0,1,False,True,0.00030206917384080956,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,32.0,273.8141763216285,20330.0,6.0,1,False,True,0.00029513034923757994,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,40.0,274.03406683512645,19964.0,9.0,1,False,True,0.00045081146062913246,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,48.0,272.8366456509953,20010.0,4.0,1,False,True,0.0001999000499750125,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,8.0,254.34640141991733,23560.0,32.0,1,False,True,0.0013582342954159593,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,16.0,255.75365428875355,23248.0,26.0,1,False,True,0.0011183757742601514,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,24.0,253.30735375116777,23382.0,21.0,1,False,True,0.0008981267641775725,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,32.0,253.34659759603886,23424.0,24.0,1,False,True,0.0010245901639344263,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,40.0,254.95899546228512,23308.0,22.0,1,False,True,0.000943881928951433,False
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,48.0,255.25221843813284,23224.0,24.0,1,False,True,0.0010334137099552187,False
Qwen/Qwen3.5-9B,Reading,baseline,vLLM,128,8.0,128.0,22790.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,baseline,vLLM,128,16.0,127.9979299466861,22901.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,baseline,vLLM,128,24.0,127.99726829118117,23181.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,baseline,vLLM,128,32.0,127.99929495549593,23112.0,2.0,1,False,True,8.653513326410523e-05,False
Qwen/Qwen3.5-9B,Reading,baseline,vLLM,128,40.0,128.0,23061.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,baseline,vLLM,128,48.0,127.9981258012491,22813.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,baseline,vLLM,256,8.0,255.97842164678752,22468.0,22.0,1,False,True,0.0009791703756453624,False
Qwen/Qwen3.5-9B,Reading,baseline,vLLM,256,16.0,255.98555737548313,22997.0,29.0,1,False,True,0.0012610340479192938,False
Qwen/Qwen3.5-9B,Reading,baseline,vLLM,256,24.0,255.9887875270723,23156.0,28.0,1,False,True,0.0012091898428053204,False
Qwen/Qwen3.5-9B,Reading,baseline,vLLM,256,32.0,255.99080261653322,23180.0,22.0,1,False,True,0.0009490940465918896,False
Qwen/Qwen3.5-9B,Reading,baseline,vLLM,256,40.0,255.99161892604815,23156.0,27.0,1,False,True,0.001166004491276559,False
Qwen/Qwen3.5-9B,Reading,baseline,vLLM,256,48.0,255.98454191363163,23262.0,24.0,1,False,True,0.0010317255610007739,False
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,128,8.0,300.83902139380126,15689.0,0.0,1,True,True,0.0,True
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,128,16.0,508.7666526953085,13228.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,128,24.0,499.13767812947725,13744.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,128,32.0,508.5595284304051,13764.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,128,40.0,509.849083032414,13539.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,128,48.0,499.0162583557935,13531.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,256,8.0,280.6840166764924,20787.0,2.0,1,True,True,9.621397989127821e-05,True
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,256,16.0,617.7690595747828,14482.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,256,24.0,627.5815648285974,15147.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,256,32.0,612.123679432871,15409.0,2.0,1,False,True,0.0001297942760724252,False
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,256,40.0,576.9606187964635,16697.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,256,48.0,622.8446553327216,15926.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,128,8.0,127.99839002375076,23179.0,1.0,1,False,True,4.3142499676431255e-05,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,128,16.0,127.99902649485422,23393.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,128,24.0,127.99956002547391,22961.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,128,32.0,127.99695740501073,23244.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,128,40.0,127.99706582304955,23432.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,128,48.0,127.99854816603558,23375.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,256,8.0,255.98687549823507,23392.0,28.0,1,False,True,0.0011969904240766074,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,256,16.0,255.99911668776537,23348.0,19.0,1,False,True,0.0008137741990748672,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,256,24.0,255.990953987338,23196.0,23.0,1,False,True,0.0009915502672874633,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,256,32.0,255.98920387573705,23528.0,27.0,1,False,True,0.0011475688541312478,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,256,40.0,255.9879303179033,23310.0,18.0,1,False,True,0.0007722007722007722,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,256,48.0,255.99142515666537,23602.0,24.0,1,False,True,0.0010168629777137532,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,128,8.0,276.1686390897524,19242.0,0.0,1,False,True,0.0,False
