model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,unit_violation_amount_p99_s,violated_unit_count
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,128,8.0,1.2377085772063583,8
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,128,16.0,1.8276165206730364,8
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,128,24.0,120.22769734468307,16
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,128,32.0,1.2894938185811042,11
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,128,40.0,2.043017543070018,9
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,128,48.0,0.6713893829286098,15
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,256,8.0,7.594151355810459,237
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,256,16.0,5.879804686019196,244
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,256,24.0,6.01842379301785,203
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,256,32.0,5.748022607602182,233
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,256,40.0,9.4291687438823,267
Qwen/Qwen3.5-35B-A3B,Reading,baseline,Baseline,256,48.0,7.64069371372461,235
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,8.0,0.9080738868564368,5
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,16.0,0.6653338183183223,4
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,24.0,0.7164187755901367,6
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,32.0,3.7093424971681093,6
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,40.0,2.5105806901305914,9
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,128,48.0,0.36701831277459857,4
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,8.0,1.2333598029147836,32
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,16.0,2.0156974669080228,26
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,256,24.0,2.289272926561535,21
