model,cap,rate,mode,adm_m,run_m,pend_m,viol_tau_0.5_pct,viol_tau_1_pct,viol_tau_2_pct,max_stall_p99,max_stall_max,ttfc_mean,ttfc_p99,tokens_per_second,in_window_count,critical_pct,out_tokens_mean,out_tokens_p99,chunk_tokens_mean,chunk_tokens_p99
Qwen3.5-9B,16,0.5,baseline,4.25,4.25,0,1.0989,0,0,0.265,0.789,0.45,1.19,354.9,91,0.0,701.9,2048,27.98,65
Qwen3.5-9B,16,0.5,sslo_mlp,4.19,4.19,0,1.0753,0,0,0.256,0.783,0.45,1.19,357.6,93,1.9,692.1,2048,27.69,65
Qwen3.5-9B,16,1,baseline,9.26,9.26,0,0.4975,0,0,0.306,0.815,0.58,2.34,770.3,201,0.0,689.9,2048,28.12,67
Qwen3.5-9B,16,1,sslo_mlp,9.38,9.31,0.07,0.4975,0,0,0.274,0.669,0.55,2.03,774.2,201,7.2,693.3,2048,28.25,68
Qwen3.5-9B,16,2,baseline,14.56,14.56,0,0,0,0,0.334,0.436,25.85,41.17,1345.4,384,0.0,630.6,2048,27.66,65
Qwen3.5-9B,16,2,sslo_mlp,58.37,14.83,43.54,0.5249,0,0,0.345,0.8,1.46,4.36,1353.5,381,37.8,639.5,2048,27.69,66
Qwen3.5-9B,16,4,baseline,15.53,15.53,0,0.2632,0,0,0.346,0.583,132.68,245.45,2586.4,760,0.0,612.6,2048,27.98,66
Qwen3.5-9B,16,4,sslo_mlp,109.74,15.54,94.21,0.3958,0.1319,0,0.355,1.079,79.78,199.89,2595.7,758,70.4,616.4,2048,27.79,66
Qwen3.5-9B,16,8,baseline,15.76,15.76,0,0.4147,0,0,0.382,0.857,342.82,661.2,5103.1,1447,0.0,634.8,2048,27.92,65
Qwen3.5-9B,16,8,sslo_mlp,115.61,15.79,99.82,0.4811,0,0,0.39,0.708,286.59,598.09,5125.5,1455,80.0,634.1,2048,27.97,67
Qwen3.5-9B,16,12,baseline,15.82,15.82,0,0.5196,0,0,0.357,0.72,540.7,1024.92,7312.7,2117,0.0,621.8,2048,27.87,65
Qwen3.5-9B,16,12,sslo_mlp,119.76,15.9,103.86,0.5208,0,0,0.398,0.958,486.4,971.42,7289.7,2112,82.1,621.3,2048,27.92,65
Qwen3.5-9B,32,0.5,baseline,4.29,4.29,0,0,0,0,0.218,0.32,0.46,1.18,383.7,93,0.0,742.6,2048,27.64,68
Qwen3.5-9B,32,0.5,sslo_mlp,4.29,4.29,0,0,0,0,0.221,0.323,0.46,1.2,372.1,92,1.0,728.1,2048,27.89,72
Qwen3.5-9B,32,1,baseline,8.97,8.97,0,0,0,0,0.205,0.252,0.46,1.15,764.3,201,0.0,684.4,2048,28.01,69
Qwen3.5-9B,32,1,sslo_mlp,9.25,9.25,0,0,0,0,0.251,0.317,0.47,1.16,788.7,201,4.0,706.3,2048,27.61,67
Qwen3.5-9B,32,2,baseline,18.21,18.21,0,0.5141,0,0,0.404,0.551,0.51,1.71,1362.5,389,0.0,630.5,2048,27.98,65
Qwen3.5-9B,32,2,sslo_mlp,18.31,18.29,0.02,0,0,0,0.356,0.456,0.58,2.18,1356.0,389,11.2,627.5,2048,27.76,65
Qwen3.5-9B,32,4,baseline,29.1,29.1,0,0.9309,0,0,0.459,0.768,38.89,69.81,2579.9,752,0.0,617.5,2048,27.85,67
Qwen3.5-9B,32,4,sslo_mlp,134.25,29.14,105.11,0.9309,0,0,0.421,0.97,4.4,17.43,2584.8,752,62.7,618.7,2048,27.78,65
Qwen3.5-9B,32,8,baseline,30.57,30.57,0,1.1057,0,0,0.517,0.997,165.91,318.41,5130.5,1447,0.0,638.2,2048,27.89,66
Qwen3.5-9B,32,8,sslo_mlp,182.04,30.79,151.25,0.9675,0.0691,0,0.468,1.296,117.77,265.87,5064.1,1447,85.4,630.0,2048,27.96,66
Qwen3.5-9B,32,12,baseline,30.94,30.94,0,1.513,0.0946,0,0.553,1.021,288.77,535.68,7227.5,2115,0.0,615.1,2048,27.96,65
Qwen3.5-9B,32,12,sslo_mlp,188.26,31.39,156.87,0.8975,0,0,0.48,0.956,232.31,504.15,7236.8,2117,92.8,615.3,2048,27.93,66
Qwen3.5-9B,64,0.5,baseline,4.74,4.74,0,0,0,0,0.208,0.216,0.47,0.99,408.4,94,0.0,782.0,2048,27.87,71
Qwen3.5-9B,64,0.5,sslo_mlp,4.71,4.71,0,0,0,0,0.211,0.214,0.47,0.99,408.4,94,0.8,782.1,2048,27.59,67
Qwen3.5-9B,64,1,baseline,9.11,9.11,0,0,0,0,0.205,0.253,0.45,1.17,742.0,196,0.0,681.5,2048,27.77,70
Qwen3.5-9B,64,1,sslo_mlp,9.19,9.19,0,0,0,0,0.195,0.253,0.45,1.17,743.1,194,2.2,689.5,2048,27.95,69
Qwen3.5-9B,64,2,baseline,18.07,18.07,0,0.2597,0,0,0.405,0.552,0.48,1.14,1362.3,385,0.0,636.9,2048,27.92,69
Qwen3.5-9B,64,2,sslo_mlp,18.08,18.08,0.0,0,0,0,0.346,0.489,0.53,1.61,1361.7,385,9.2,636.6,2048,28.0,68
